NumCPUs,TiempoNanosegundos
1,968460700
2,536949800
3,383551800
4,340276300
5,315983600
6,282059500
7,303460000
8,293520400
9,247914300
10,281770900
11,279060000
12,264518600
13,259337900
14,275456300
15,253484600
16,253368400
17,247953100
18,285575400
19,303671400
20,287054700
21,289468900
22,282430400
23,294210100
24,274676800
25,279206400
26,275821800
27,295232200
28,274775900
29,283671600
30,297872600
31,274918100
32,262029600
33,275318900
34,271476700
35,277910000
36,271557800
37,256591100
38,268290200
39,262074700
40,291056000
41,274245300
42,270045700
43,257308600
44,261661800
45,257780000
46,254735300
47,266810400
48,269129300
